timestamp, utilization.gpu [%], utilization.memory [%], pstate, pcie.link.gen.max, pcie.link.gen.current
2024/06/18 11:21:18.128, 82 %, 66 %, P0, 3, 3
2024/06/18 11:21:19.128, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:20.129, 72 %, 59 %, P0, 3, 3
2024/06/18 11:21:21.129, 83 %, 68 %, P0, 3, 3
2024/06/18 11:21:22.129, 84 %, 68 %, P0, 3, 3
2024/06/18 11:21:23.130, 58 %, 47 %, P0, 3, 3
2024/06/18 11:21:24.130, 83 %, 68 %, P0, 3, 3
2024/06/18 11:21:25.130, 83 %, 68 %, P0, 3, 3
2024/06/18 11:21:26.131, 74 %, 61 %, P0, 3, 3
2024/06/18 11:21:27.131, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:28.132, 82 %, 68 %, P0, 3, 3
2024/06/18 11:21:29.132, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:30.141, 81 %, 67 %, P0, 3, 3
2024/06/18 11:21:31.147, 83 %, 68 %, P0, 3, 3
2024/06/18 11:21:32.149, 81 %, 67 %, P0, 3, 3
2024/06/18 11:21:33.149, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:34.149, 81 %, 66 %, P0, 3, 3
2024/06/18 11:21:35.150, 84 %, 69 %, P0, 3, 3
2024/06/18 11:21:36.150, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:37.151, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:38.151, 61 %, 49 %, P0, 3, 3
2024/06/18 11:21:39.186, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:40.186, 81 %, 66 %, P0, 3, 3
2024/06/18 11:21:41.186, 81 %, 67 %, P0, 3, 3
2024/06/18 11:21:42.187, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:43.187, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:44.188, 83 %, 68 %, P0, 3, 3
2024/06/18 11:21:45.188, 60 %, 49 %, P0, 3, 3
2024/06/18 11:21:46.188, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:47.191, 60 %, 48 %, P0, 3, 3
2024/06/18 11:21:48.196, 67 %, 54 %, P0, 3, 3
2024/06/18 11:21:49.196, 81 %, 66 %, P0, 3, 3
2024/06/18 11:21:50.197, 82 %, 67 %, P0, 3, 3
2024/06/18 11:21:51.197, 80 %, 66 %, P0, 3, 3
2024/06/18 11:21:52.198, 81 %, 66 %, P0, 3, 3
2024/06/18 11:21:53.198, 85 %, 70 %, P0, 3, 3
2024/06/18 11:21:54.199, 86 %, 71 %, P0, 3, 3
2024/06/18 11:21:55.205, 80 %, 65 %, P0, 3, 3
2024/06/18 11:21:56.208, 80 %, 64 %, P0, 3, 3
2024/06/18 11:21:57.209, 81 %, 67 %, P0, 3, 3
2024/06/18 11:21:58.209, 81 %, 66 %, P0, 3, 3
2024/06/18 11:21:59.209, 58 %, 46 %, P0, 3, 3
2024/06/18 11:22:00.210, 80 %, 66 %, P0, 3, 3
2024/06/18 11:22:01.210, 81 %, 67 %, P0, 3, 3
2024/06/18 11:22:02.211, 58 %, 46 %, P0, 3, 3
2024/06/18 11:22:03.211, 82 %, 68 %, P0, 3, 3
2024/06/18 11:22:04.211, 73 %, 59 %, P0, 3, 3
2024/06/18 11:22:05.212, 62 %, 50 %, P0, 3, 3
2024/06/18 11:22:06.212, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:07.213, 80 %, 65 %, P0, 3, 3
2024/06/18 11:22:08.213, 83 %, 68 %, P0, 3, 3
2024/06/18 11:22:09.217, 81 %, 67 %, P0, 3, 3
2024/06/18 11:22:10.221, 63 %, 50 %, P0, 3, 3
2024/06/18 11:22:11.223, 80 %, 66 %, P0, 3, 3
2024/06/18 11:22:12.224, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:13.224, 81 %, 67 %, P0, 3, 3
2024/06/18 11:22:14.224, 58 %, 46 %, P0, 3, 3
2024/06/18 11:22:15.225, 81 %, 67 %, P0, 3, 3
2024/06/18 11:22:16.225, 69 %, 54 %, P0, 3, 3
2024/06/18 11:22:17.228, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:18.228, 59 %, 46 %, P0, 3, 3
2024/06/18 11:22:19.228, 64 %, 50 %, P0, 3, 3
2024/06/18 11:22:20.229, 82 %, 67 %, P0, 3, 3
2024/06/18 11:22:21.229, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:22.229, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:23.230, 80 %, 63 %, P0, 3, 3
2024/06/18 11:22:24.230, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:25.230, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:26.231, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:27.231, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:28.232, 55 %, 43 %, P0, 3, 3
2024/06/18 11:22:29.232, 57 %, 44 %, P0, 3, 3
2024/06/18 11:22:30.233, 78 %, 62 %, P0, 3, 3
